Date,ret_1_sp500,ret_mean_5_sp500,ret_std_5_sp500,volume_mean_5_rel_sp500,volume_std_5_rel_sp500,ret_mean_10_sp500,ret_std_10_sp500,volume_mean_10_rel_sp500,volume_std_10_rel_sp500,ret_mean_30_sp500,ret_std_30_sp500,volume_mean_30_rel_sp500,volume_std_30_rel_sp500,ret_1_nasdaq,ret_mean_5_nasdaq,ret_std_5_nasdaq,volume_mean_5_rel_nasdaq,volume_std_5_rel_nasdaq,ret_mean_10_nasdaq,ret_std_10_nasdaq,volume_mean_10_rel_nasdaq,volume_std_10_rel_nasdaq,ret_mean_30_nasdaq,ret_std_30_nasdaq,volume_mean_30_rel_nasdaq,volume_std_30_rel_nasdaq,ret_1_nyse,ret_mean_5_nyse,ret_std_5_nyse,volume_mean_5_rel_nyse,volume_std_5_rel_nyse,ret_mean_10_nyse,ret_std_10_nyse,volume_mean_10_rel_nyse,volume_std_10_rel_nyse,ret_mean_30_nyse,ret_std_30_nyse,volume_mean_30_rel_nyse,volume_std_30_rel_nyse,ret_1_forbes2000,ret_mean_5_forbes2000,ret_std_5_forbes2000,volume_mean_5_rel_forbes2000,volume_std_5_rel_forbes2000,ret_mean_10_forbes2000,ret_std_10_forbes2000,volume_mean_10_rel_forbes2000,volume_std_10_rel_forbes2000,ret_mean_30_forbes2000,ret_std_30_forbes2000,volume_mean_30_rel_forbes2000,volume_std_30_rel_forbes2000
2018-11-27,0.007632563770810119,-0.004232991173540412,0.019587733503490086,0.9631014156250471,0.32766349659690025,-0.0011155508397427184,0.014666715852445087,1.0547726116622038,0.2422707588649759,0.0011153926212837803,0.01543969540550205,1.1650261054134146,0.23263519677433867,0.004925218480305693,-0.006303302838307334,0.0,0.9637258285510077,0.34832958105240835,-0.007349455099119861,0.0,1.0740472266111785,0.2628405687089792,-0.0007429684289375737,0.32266007811104713,1.1388149651545074,0.2045169457687339,0.007224832790252211,-0.004398099702090086,0.019539458394942325,0.930412320261058,0.2804855912417525,-0.001124820465391052,0.014660067004901195,1.040091720382044,0.22135794781875723,0.001091866780431979,0.015324206237439459,1.1559869378256102,0.22060702052307413,0.007480428804753414,-0.004280823764302744,0.019723708933119297,0.9492882243324329,0.3126475264660248,-0.0011521924729653078,0.01474628323394873,1.0417378552922123,0.23361169036933654,0.0011706336571754314,0.01547129152760619,1.126846502793934,0.21337700519324118
2018-11-28,0.020003698767847133,0.005965415728578472,0.01488496199866689,0.7753284309913998,0.22498259997702963,-0.00015045111969701485,0.015780440428598556,0.8974193709382303,0.20684914369538956,0.0010635914265145836,0.01537120000069241,0.9847027137907364,0.19397874736891937,0.02351985755599184,0.0016029222832989686,0.009725751990330066,0.7676950062663502,0.22442235268449065,-0.006476501432025539,0.0,0.9140441684944861,0.22357147102135347,-0.00015962547257465746,0.3226885440992723,0.9615613039801132,0.17251728985459402,0.019521771453945513,0.005737996214272045,0.014743554592999832,0.789353222983146,0.2251987947785885,-0.00017357896163819886,0.015732208082491827,0.8940896129122707,0.18878914192108373,0.001031543403870013,0.015245144141056226,1.000979443366217,0.18909440742221537,0.019759340978892537,0.005922412532654886,0.014881134561023376,0.7774313980653386,0.22612181870081383,-0.00022234044090517767,0.01581440880353774,0.8927588626160357,0.20149671470045583,0.0011130625455203565,0.015396117075591485,0.9613795034667937,0.17945849863308264
2018-11-29,0.0035689986567988274,0.006346410451412576,0.014771285005557492,0.9543265578511524,0.2749691061298255,0.0010910825417305148,0.01550628009515558,1.0708526237921752,0.2493941528603664,0.0011528862714288435,0.015377937254510882,1.1978297652002339,0.23644734350552818,-0.004641844675228324,0.0009867724675055145,0.010067880690628181,0.9571108030626077,0.2773171608636845,-0.0039166926547422485,0.0,1.0993191622821954,0.27339009723737207,-0.00034947272283296637,0.32268948111722673,1.183779327440899,0.21241579443935485,0.003833451033273816,0.006134255493890994,0.014639262520977149,0.9137649641153809,0.25961462121665296,0.0010976228516478503,0.015461929126279242,0.999700402904666,0.20971112220439458,0.0011326676595133608,0.015253612730857385,1.1341904193351162,0.2141644526471508,0.00377874202308659,0.006317479259691239,0.014770252222018805,0.9503425283082779,0.27493257048045355,0.00103827636874676,0.015552525150389448,1.057884533703467,0.2394416011833663,0.0012079293153621625,0.015403733927652744,1.1638804675150591,0.2165867233556603
2018-11-30,-0.0008923275734805669,0.009587635543062878,0.008985731005845562,0.8196631058185058,0.11829919491474959,0.00019189867470411625,0.015314238219206328,0.7838260454879225,0.19020885653439104,0.001364182192090698,0.015302127644384158,0.8724294558121413,0.17235999526568963,-0.008062793834205051,0.0031736128536786535,0.004002538912109055,0.897045524152865,0.09403230412779776,-0.004617296104958446,0.0,0.8902742929001699,0.22092005576842494,-0.0005361800657161852,0.32269236572744886,0.9643452555372742,0.17170546280761723,-0.0009818556735329276,0.00938529277912974,0.008786456885746663,0.7970901737137309,0.12207576966930167,0.00021459459223848175,0.015284686443355925,0.7440861736162113,0.1734232601026086,0.0013397138129244404,0.015178674652099723,0.8319524773447778,0.15870795579521868,0.0006520831600740351,0.00988776321527145,0.0084847340727229,0.8427730191032428,0.10791082053790271,0.0002974700493483251,0.015356084187117874,0.8031120439592498,0.1871413163905833,0.001467548030827448,0.015323672602256555,0.8820121660968856,0.16417592914082474
2018-12-03,0.014760026220029587,0.00901459196840102,0.008418462244570758,0.9201164839868367,0.12935030163751465,0.0010434479083503256,0.015913228656070543,0.8542282602462659,0.2102602966198229,0.0017501918249743713,0.015494359927047301,0.9430110960797644,0.18580375654970746,0.006233515927257516,0.0043947906908243795,0.003765299302141063,0.9235823249191043,0.09631004262980399,-0.002667261964677392,0.0,0.8787740476512198,0.2165864585866237,-0.0005074665361371356,0.32269294790603664,0.9598264459024132,0.1695203892105236,0.015596504073486894,0.00903894073548812,0.008421636554485041,0.9334884132317043,0.13459684631224392,0.001050229685892512,0.0159264160834625,0.8456617962169162,0.20074296452870086,0.0017458931263949374,0.015397479236361344,0.9389553554773479,0.17868880693019806,0.014543202457379945,0.009242759484837304,0.007833488973493646,0.934687775802922,0.11472346354061377,0.0011495284593049826,0.01593454467990922,0.8674704563127312,0.20457523441918582,0.0017763076259110998,0.015495503386864758,0.9466181113069781,0.17558810940387765
2018-12-04,-0.04631229597169384,-0.0017743799800997717,0.026270834469627368,0.8881708381648381,0.1171189551044574,-0.003003685576820092,0.021884687982032948,0.7912245261033047,0.20331283662413502,0.0007376867170526361,0.017546574897636915,0.8619168916425719,0.1686033970976845,-0.04188269634480846,-0.004966792274198451,0.020975210614144986,0.9148143504540528,0.091124067223213,-0.0056350475562529255,0.0,0.8369727920607715,0.20948263254067864,-0.006063713856328394,0.32189492978515427,0.9147749399200644,0.15833782558524442,-0.046202788854833976,-0.0016465835935291161,0.026273329626188297,0.9162397343617107,0.11347259775361618,-0.0030223416478111997,0.02187652277538899,0.8022317432605347,0.19823247901713195,0.0007357353969295748,0.017451947038636242,0.8777355635235661,0.16537288678676446,-0.04623211435464092,-0.0014997491470415624,0.026185886263126037,0.9092384765642898,0.10297153173281329,-0.002890286455672153,0.021904432006945977,0.8158396678077032,0.19891346172373767,0.0007651908405029199,0.017542994727746702,0.8814208094163899,0.16115991651381892
2018-12-06,-0.008538897422789793,-0.007482899218227157,0.023287147730790124,0.86119669469135,0.1320721697328419,-0.0007587417448243428,0.019741541957733904,0.7372310782360242,0.19723640504126844,0.0008566939324465394,0.017468371689110283,0.7990828310480459,0.1592542220611899,-0.014722527624569826,-0.012615269310310784,0.013702433224813668,0.8994965276587912,0.10349929729413067,-0.0055061735135059405,0.0,0.7944830045322964,0.1872679726990267,-0.0050232779770093775,0.3218120441464094,0.8799198719456758,0.15277460867012713,-0.008804438843554196,-0.007311825653029058,0.023472389082630038,0.8555160585310596,0.12516162972492229,-0.0007869147193801052,0.01971757938838872,0.7256667804093514,0.19631275090889308,0.0008521369042092145,0.01737349637148413,0.7765108555648983,0.15013524668410996,-0.008958521398219954,-0.007243321622464061,0.023353499759948722,0.8643601042811883,0.12042036547824757,-0.0006604545449045874,0.019722175497121144,0.7497551732293183,0.19028051416669908,0.0008773218496529825,0.017467043103657497,0.8065574730536849,0.15055405414786963
2018-12-07,-0.014761611130541197,-0.011149021175695162,0.022543280302397696,1.0959938807573808,0.09021312227616242,-0.002401305362141293,0.020195672555108436,0.928045404022172,0.23722350518757016,0.0009600496160002433,0.017362650371081423,0.9713366590047888,0.1891386500754701,-0.0035588089492091246,-0.012398662165106943,0.01386755290034307,1.0482144702548744,0.05343874303636159,-0.005705944848800748,0.0,0.9170424149579876,0.2084000787248069,-0.003349884325742351,0.32168037090668367,0.9861864961155853,0.1700489980791867,-0.01411106230122361,-0.010900728319928544,0.02270145100982862,1.1277329440178625,0.1116758649898641,-0.002383236413020373,0.020122216093620745,0.9548440433208936,0.2463560278549507,0.0009681141642874998,0.01725736253079834,0.9867784279682705,0.18306120939233037,-0.014556591212411596,-0.010910388269563698,0.02261805108905844,1.1024733791264285,0.09147993280586157,-0.0022964545049362294,0.02016858087910042,0.948261399170422,0.23150898061403674,0.0009912440992143612,0.017350608141595662,0.9901138460766171,0.18070201893790747
2018-12-10,-0.008934036146264757,-0.012757362890252,0.021906451828438925,1.0802225248845136,0.1011155773045782,-0.001584863673594561,0.019694306456284793,0.9938575174176242,0.14302475209045992,0.0004042664235655395,0.01740496648662046,0.969751933037746,0.1855366255272358,-0.01016324067318608,-0.01281875153290315,0.013734546386800077,1.0751381830534423,0.06624891840237067,-0.0048225693396122815,0.0,1.0073518332069333,0.10661782455872072,-0.004594456229838813,0.32163042726281893,1.0144043990485143,0.173344709114044,-0.009571015882977929,-0.012618560361817544,0.02207970152524298,1.075682469665036,0.11432924438784595,-0.001616633791345501,0.019633542894184647,0.9981501252496067,0.14602695829440407,0.00038111103691221466,0.017307978863036658,0.9617679793284712,0.17449732578024235,-0.009064435005674887,-0.012853691902713483,0.0217780829798403,1.0792210045072406,0.10143092948985971,-0.001482964343721016,0.019658294530002837,1.0067625809901295,0.12948667244613996,0.0004218383374002414,0.017392311880405575,0.9823483869713675,0.1763633772184099
2018-12-11,-0.004143490054061338,-0.016538066145070186,0.01706673696941888,1.1391367723369636,0.12981637894880996,-0.0037617370883345825,0.018502017640865707,1.077348575650623,0.14419030789467502,0.000844021884450863,0.01710536407504998,1.0272894943328417,0.1860572325232692,0.01450445261337907,-0.01116456419567884,0.016766320632004224,1.158203293280487,0.11444741479288263,-0.003384886752427263,0.0,1.120675689452471,0.11426396869044834,-0.004081707695285801,0.32164881735260836,1.1112649153651064,0.1850822149719646,-0.0030437440663739768,-0.016346609989789717,0.017147509685336595,1.0915791607818341,0.12476561130509378,-0.0036538346271523968,0.018471929656481978,1.0369312120603353,0.1383910688464115,0.000852515025406871,0.017002922888778926,0.976820637499835,0.17140579909136391,-0.0022230990860307998,-0.01620695221139563,0.01734457770222665,1.1144860481664103,0.12164142643698282,-0.0034820963632791633,0.018463210459419448,1.06548440448478,0.12713131972193112,0.0009324340228649105,0.017068618965583336,1.018779622700453,0.17502645737890182
